詞目id,詞目類型,漢字,羅馬字,分類
373,主詞目,上青苔,tshiūnn-tshenn-thî/tshiūnn-tshinn-thî,植物形體、狀態
374,主詞目,久長病,kú-tn̂g-pēnn/kú-tn̂g-pīnn,傷疾病痛
375,主詞目,千金譜,Tshian-kim-phóo,教育、學術
376,主詞目,大便,tāi-piān,"反應、表情,廢棄物"
377,主詞目,大前年,tuā-tsûn--nî,時間節令
378,主詞目,大姨,tuā-î,"宗族、家庭,稱謂輩分"
379,主詞目,上帝,Siōng-tè,神明、鬼怪、教派
380,主詞目,上帝公,Siōng-tè-kong,神明、鬼怪、教派
381,主詞目,三思,sàm-su,心理活動
382,主詞目,大後日,tuā-āu--ji̍t/tuā-āu--li̍t,時間節令
383,主詞目,大後年,tuā-āu--nî,時間節令
384,主詞目,山後鳥,suann-āu-tsiáu,禽類
385,主詞目,也是,iā sī,副詞
386,主詞目,才是,tsiah-sī,副詞
387,主詞目,大昨日,tuā-tso̍h--ji̍t/tuā-tso̍h--li̍t,時間節令
388,主詞目,大某,tuā-bóo,"宗族、家庭,稱謂輩分"
389,主詞目,山洞,suann-tōng,"地理,自然現象"
390,主詞目,三牲,sam-sing,"食物、飲料、煙酒,相關器具、活動"
391,主詞目,三界公,Sam-kài-kong,神明、鬼怪、教派
392,主詞目,三界娘仔,sam-kài-niû-á,"魚蝦海獸,食物、飲料、煙酒"
393,主詞目,山珍海味,san-tin-hái-bī,食物、飲料、煙酒
394,主詞目,山苳蒿,suann-tang-o,"蔬果作物,醫療保健,食物、飲料、煙酒"
395,主詞目,低音,kē-im,戲劇、音樂
396,主詞目,乞食,khit-tsia̍h,地位、身世、背景
397,主詞目,口面,kháu-bīn,空間方位
398,主詞目,口音,kháu-im,語言、文字、符號
399,主詞目,乞食命,khit-tsia̍h-miā,生活狀況
400,主詞目,大面神,tuā-bīn-sîn,"個性風格,道德評價"
401,主詞目,乞食琴,khit-tsia̍h-khîm,戲劇、音樂
402,主詞目,乞食頭,khit-tsia̍h-thâu,地位、身世、背景
403,主詞目,土匪,thóo-huí,地位、身世、背景
404,主詞目,大厝,tuā-tshù,"生養老死,建築物、結構"
405,主詞目,大哥,tuā-ko,"宗族、家庭,稱謂輩分"
406,主詞目,低厝仔,kē-tshù-á,建築物、結構
407,主詞目,大娘姑,tuā-niû-koo,"宗族、家庭,稱謂輩分"
408,主詞目,口座,kháu-tsō,錢財資產
409,主詞目,土師,thóo-sai,地位、身世、背景
410,主詞目,大孫,tuā-sun,"宗族、家庭,稱謂輩分"
411,主詞目,大家,ta-ke,"宗族、家庭,稱謂輩分"
412,主詞目,子宮,tsú-kiong,生理構造
413,主詞目,山崁,suann-khàm,"地理,自然現象"
414,主詞目,大家口,tuā-ke-kháu,宗族、家庭
415,主詞目,大家官,ta-ke-kuann,"宗族、家庭,稱謂輩分"
416,主詞目,子時,tsú-sî,時間節令
417,主詞目,上桌,tsiūnn-toh,飲食行為
418,主詞目,口氣,kháu-khì,氣質態度
419,主詞目,大氣,tāi-khì,天文
420,主詞目,大氣,tuā-khuì,反應、表情
421,主詞目,大氣喘,tuā-khuì-tshuán,傷疾病痛
422,主詞目,干涉,kan-sia̍p,待人處事
423,主詞目,低級,kē-kip,"地位、身世、背景,性質、程度"
424,主詞目,大陣,tuā tīn,數詞、量詞
425,主詞目,小鬼仔殼,siáu-kuí-á-khak,休閒、娛樂
426,主詞目,三除四扣,sann-tû-sì-khàu,錢財資產
427,主詞目,上崎,tsiūnn-kiā,地理
428,主詞目,山崙,suann-lūn,"地理,自然現象"
429,主詞目,才情,tsâi-tsîng,才智能力
430,主詞目,三教,sam-kàu,神明、鬼怪、教派
